Sr_No,Date,Startup_name,Industry_Vertical,SubVertical,City_Location,Investors_name,Investment_Type,Remarks,Amount_USD
2991,02-01-15,VioletStreet,Not specified,Not specified,Not specified,"Venkat Vallabhneni, Sudhakar Reddy, Srinivasa Rao Paturi",Seed and Funding,Not specified,0.315
2990,02-01-15,Lenskart,Not specified,Not specified,New Delhi,"TPG Growth, TR Capital, IDG Ventures",Private Equity,Not specified,2.15
2994,05-01-15,Gympik,Not specified,Not specified,Not specified,"Tom Clausen, Rohan Ajila, Haldyn Glass",Seed Funding,Not specified,0.135
2992,05-01-15,Lookup,Not specified,Not specified,Not specified,"DeNot specified Co., Japan & Teruhide Sato (in Addition to MKS Switzerland & Kris GopalKrishNot specified)",Seed and Funding,Not specified,0.38
2993,05-01-15,Fame,Not specified,Not specified,Not specified,TO THE NEW Ventures,Private Equity,Not specified,10
2996,06-01-15,Purplle,Not specified,Not specified,Not specified,IvyCap Ventures,Private Equity,Not specified,0
2995,06-01-15,Near.in,Not specified,Not specified,Not specified,"Anupam Mittal, Manish Vij, Prashant Tandon, Gaurav Agarwal, Akash Agarwal, Himanshu Aggarwal, Kevin Parikh",Seed Funding,Not specified,0.285
2999,06-01-15,Frankly,Not specified,Not specified,Not specified,Matrix Partners,Seed Funding,Not specified,0.6
2998,06-01-15,Tookitaki,Not specified,Not specified,Not specified,"Jungle Ventures, Redbright Partners, Blume Ventures",Private and Equity,Not specified,1
2997,06-01-15,NumberMall,Not specified,Not specified,Not specified,SRI Capital,Private Equity,Not specified,10
3000,07-01-15,Faircent,Not specified,Not specified,Not specified,"Devesh Sachdev, Ashish Tiwari",Seed Funding,Valuation at $4M,0
3002,07-01-15,Bewakoof,Not specified,Not specified,Not specified,"Rohit Bansal, KuNot specifiedl Bahl, Nikhil Vora",Seed Funding,Not specified,0
3003,07-01-15,Stridalyzer,Not specified,Not specified,Not specified,Kickstarter,Crowd Funding,Not specified,0.030768
3001,07-01-15,Nurturey,Not specified,Not specified,Not specified,Seedrs Crowd funding platform,Crowd funding,Not specified,0.125
3004,07-01-15,Commonfloor,Not specified,Not specified,Not specified,Google Capital,Private Equity,3rd Round,5
3005,09-01-15,Sokrati,Not specified,Not specified,Not specified,"IvyCap Ventures, Inventus Capital",Private Equity,Series B,0
3007,09-01-15,TapCibo,Not specified,Not specified,Not specified,Alok Goel,Seed Funding,Not specified,0
3006,09-01-15,YepMe,Not specified,Not specified,Not specified,"JS Capital, Helion Venture Partners, Capricorn Investment Group",Private Equity,Series A,13
3008,12-01-15,Verayu,Not specified,Not specified,Not specified,"GWB Group, Blume Ventures",Private Equity,Not specified,0
3009,12-01-15,MyDreamStore,Not specified,Not specified,Not specified,Undisclosed Investors,Seed Funding,Not specified,0.29
3010,13-01-15,AppVirality,Not specified,Not specified,Not specified,"Rajan ANot specifieddan, Mike Galgon, Ashim Mehra, Mohit SaxeNot specified, Ravi Gururaj, TNN Capital & IIG",Seed Funding,Not specified,0
3011,14-01-15,RateGain,Not specified,Not specified,Not specified,TA Associates,Private Equity,Not specified,50
3012,15-01-15,Wishberry,Not specified,Not specified,Not specified,"Rajan ANot specifieddan, Shankar Mahadevan, Deep Kalra & Others",Seed Funding,Not specified,0.65
3013,16-01-15,eKincare,Not specified,Not specified,Not specified,Adroitent Pvt. Ltd.,Seed Funding,Not specified,0.161
3014,18-01-15,Shopclues,Not specified,Not specified,Not specified,Tiger Global & Other investors,Private Equity,More Details,100
3016,19-01-15,Ping Digital,Not specified,Not specified,Not specified,Consortium of Angel Investors,Seed Funding,Not specified,0
3018,19-01-15,Hostel Dunia,Not specified,Not specified,Not specified,Hyderabad Angels (at Startup Heroes event),Seed Funding,Not specified,0.016
3019,19-01-15,Play Your Sport,Not specified,Not specified,Not specified,Hyderabad Angels (at Startup Heroes event),Seed Funding,Not specified,0.016
3020,19-01-15,Yo Grad,Not specified,Not specified,Not specified,Hyderabad Angels (at Startup Heroes event),Seed Funding,Not specified,0.016
3021,19-01-15,ENot specifiedbli,Not specified,Not specified,Not specified,Hyderabad Angels (at Startup Heroes event),Seed Funding,Not specified,0.016
3022,19-01-15,CBS,Not specified,Not specified,Not specified,Hyderabad Angels (at Startup Heroes event),Seed Funding,Not specified,0.016
3017,19-01-15,HealthyWorld.in,Not specified,Not specified,Not specified,Group of Angel Investors,Seed Funding,Not specified,0.2
3015,19-01-15,Refiral,Not specified,Not specified,Not specified,Cogent E Services,Seed Funding,Not specified,0.33
3024,20-01-15,Amagi Media Labs,Not specified,Not specified,Not specified,Premji Invest & Mayfield Fund,Private Equity,Not specified,0
3025,20-01-15,HealthyWorld.in,Not specified,Not specified,Not specified,Group of Angel Investors,Seed Funding,Not specified,0.2
3023,20-01-15,Hopscotch,Not specified,Not specified,Not specified,Eduardo Saverin & Velos Capital,Private Equity,Not specified,11
3027,21-01-15,MyDreamStore,Not specified,Not specified,Not specified,Undisclosed Investors,Seed Funding,Not specified,0.325
3026,21-01-15,Simplilearn,Not specified,Not specified,Not specified,"Mayfield India, Kalaari Capital, Helion Ventures",Private Equity,Not specified,14.75
3031,22-01-15,Freshmonk,Not specified,Not specified,Not specified,"August Capital Partners, Michael Blakey",Seed Funding,Not specified,0
3032,22-01-15,Englishleap.com,Not specified,Not specified,Not specified,ANot specifiedLEC,Private Equity,Majority Stake,0
3030,22-01-15,Corporate360,Not specified,Not specified,Not specified,Group of Angel Investors,Seed Funding,Not specified,0.2
3034,22-01-15,Caratlane.com,Not specified,Not specified,Not specified,Tiger Global,Private Equity,Series D,31
3033,22-01-15,Antuit,Not specified,Not specified,Not specified,"Goldman Sachs, Zodius Capital",Private Equity,Not specified,56
3036,24-01-15,Impartus,Not specified,Not specified,Not specified,Kaizen Private Equity,Private Equity,Series A,0
3035,24-01-15,Aasaanjobs,Not specified,Not specified,Not specified,"Inventus Capital Partners, IDG Ventures",Seed Funding,Not specified,1.5
3037,25-01-15,Thrill App,Not specified,Not specified,Not specified,People Group (Shaadi.com),Private Equity,Strategic Funding,1
3038,27-01-15,CarDekho.com,Not specified,Not specified,Not specified,"Hillhouse Capital, Tybourne Capital",Private Equity,Series B,50
3039,28-01-15,Grabhouse,Not specified,Not specified,Not specified,"Kalaari Capital, Sequoia Capital",Private Equity,Series A,2.5
3041,29-01-15,Graphene,Not specified,Not specified,Not specified,KARSEMVEN Fund,Private Equity,Govt backed VC Fund,0.825
3040,29-01-15,Printvenue,Not specified,Not specified,Not specified,Asia Pacific Internet Group,Private Equity,Not specified,4.5
3043,30-01-15,Simplotel,Not specified,Not specified,Not specified,MakeMyTrip,Private Equity,"Strategic Funding, Minority stake",0
3042,30-01-15,Mad Street Den,Not specified,Not specified,Not specified,"Exfinity Fund, GrowX Ventures.",Private Equity,Not specified,1.5
3044,31-01-15,couponmachine.in,Not specified,Not specified,Not specified,UK based Group of Angel Investors,Seed Funding,Not specified,0.14
2942,02-02-15,NowFloats,Not specified,Not specified,Not specified,Omidyar Network,Private Equity,Series A,0
2934,02-02-15,Faaya,Not specified,Not specified,Not specified,Group of Angel Investors,Seed and Funding,At the 10 minute million event,0.0166
2935,02-02-15,InstaBounce,Not specified,Not specified,Not specified,Group of Angel Investors,Seed and Funding,At the 10 minute million event,0.0166
2936,02-02-15,Chloroplast Foods,Not specified,Not specified,Not specified,Group of Angel Investors,Seed and Funding,At the 10 minute million event,0.0166
2937,02-02-15,Dealwithus,Not specified,Not specified,Not specified,Group of Angel Investors,Seed and Funding,At the 10 minute million event,0.0166
2938,02-02-15,CleverSharks,Not specified,Not specified,Not specified,Group of Angel Investors,Seed and Funding,At the 10 minute million event,0.0166
2939,02-02-15,Leaf,Not specified,Not specified,Not specified,Group of Angel Investors,Seed and Funding,At the 10 minute million event,0.0166
2940,02-02-15,SmartPocket,Not specified,Not specified,Not specified,"Sol Primero, Rajiv Mehta",Seed and Funding,For mobile app,0.25
2944,02-02-15,HolaChef,Not specified,Not specified,Not specified,India Quotient,Seed and Funding,Not specified,0.325
2941,02-02-15,Yumist,Not specified,Not specified,Not specified,Orios Venture Partner,Private Equity,Not specified,1
2943,02-02-15,FirstCry,Not specified,Not specified,Not specified,Valiant Capital Partners,Private Equity,Series D,26
2945,03-02-15,Frsh,Not specified,Not specified,Not specified,"India Quotient, Kae Capital",Seed and Funding,Not specified,0.518
2946,03-02-15,Manthan,Not specified,Not specified,Not specified,"Temasek, Norwest Venture Partners",Private Equity,Series D,60
2947,05-02-15,Kobster.com,Not specified,Not specified,Not specified,Splice Advisors,Seed and Funding,Not specified,0
2949,05-02-15,Paytm,Not specified,Not specified,Not specified,Ant FiNot specifiedcial Services (Alipay),Private Equity,Strategic Investment (25% stake),0
2950,05-02-15,Aisle,Not specified,Not specified,Not specified,"ANot specifiedd Vijay, Shashank Mehrotra & Others",Seed and Funding,Not specified,0.1
2948,05-02-15,Culture Machine,Not specified,Not specified,Not specified,"Tiger Global, Times Internet, Zodius Capital",Private Equity,Series B,18
2952,06-02-15,NewsHunt,Not specified,Not specified,Not specified,"Falcon Edge Capital, Matrix Partners India, Sequoia Capital India and Omidyar Network",Private Equity,Series C,40
2951,06-02-15,FreeCharge,Not specified,Not specified,Not specified,"Valiant Capital, Tybourne Capital, Sequoia Capital, RuNet and SofiNot specified",Private Equity,Series C,80
2954,09-02-15,CarDekho.com,Not specified,Not specified,Not specified,Ratan Tata,Private Equity,Not specified,0
2953,09-02-15,MyNoticePeriod,Not specified,Not specified,Not specified,IDG Ventures,Private Equity,Series A,3
2955,09-02-15,Faasos,Not specified,Not specified,Not specified,Lightbox Ventures,Private Equity,Series B,20
2956,10-02-15,CarTrade,Not specified,Not specified,Not specified,Chip Perry,Private Equity,Not specified,0
2957,10-02-15,StoreKing,Not specified,Not specified,Not specified,Mangrove Capital Partners,Private Equity,Not specified,0
2960,11-02-15,TownScript,Not specified,Not specified,Not specified,Group of Angel Investors,Seed and Funding,Not specified,0
2961,11-02-15,FindYahan,Not specified,Not specified,Not specified,"Karan Bajwa, Parvesh Bareja , Sunjay Kapur, Amanpreet Bajaj",Seed and Funding,Not specified,0
2959,11-02-15,Nimble Wireless,Not specified,Not specified,Not specified,AngelPrime,Seed and Funding,Not specified,3
2958,11-02-15,Capital Float,Not specified,Not specified,Not specified,"SAIF Partners, Sequoia Capital, Aspada",Private Equity,Series A,13
2962,12-02-15,StayZilla,Not specified,Not specified,Not specified,"Nexus Venture Partners, Matrix Partners",Private Equity,Series B,20
2963,12-02-15,Practo,Not specified,Not specified,Not specified,"Sequoia Capital, Matrix Partners",Private Equity,Series B,30
2964,13-02-15,CimplyFive,Not specified,Not specified,Not specified,"Suresh SeNot specifiedpaty, TV Mohandas Pai",Seed and Funding,Not specified,0
2965,13-02-15,20Dresses,Not specified,Not specified,Not specified,"Srinivas Aluri, Srinivas Modukury, BS Not specifiedgesh",Seed and Funding,Not specified,1
2966,13-02-15,Itzcash,Not specified,Not specified,Not specified,Ashok Goel (promoter),Private Equity,Promoter Commitment,16.5
2968,16-02-15,iTraveller.com,Not specified,Not specified,Not specified,ah! Ventures,Private Equity,Series A,1
2967,16-02-15,News In Shorts,Not specified,Not specified,Not specified,"Tiger Global, Rebright Partners, Sachin and Binny Bansal",Private Equity,Series A,4.15
2969,17-02-15,NextGen,Not specified,Not specified,Not specified,Mumbai Angels & Group of other investors,Seed and Funding,Not specified,0
2970,18-02-15,Wooplr,Not specified,Not specified,Not specified,Helion Venture Partners,Private Equity,Series A,5
2972,20-02-15,Klip.in,Not specified,Not specified,Not specified,"Calcutta Angels, Venture Nursery Angels Mumbai Angels",Seed and Funding,Not specified,0.5
2973,20-02-15,Renderlogy,Not specified,Not specified,Not specified,Brick Eagle,Private Equity,Series A,1.6
2974,21-02-15,Appbase,Not specified,Not specified,Not specified,"DA-IICT, Techstars, Carnegie Mellon University, Startup Brasil program",Seed and Funding,Grant + Seed funding,0.29
2976,23-02-15,Trip38,Not specified,Not specified,Not specified,"InterGlobe Technology Quotient, Lantern Capital",Private Equity,Series A,1
2978,23-02-15,NoBroker,Not specified,Not specified,Not specified,"SAIF Partners, Fulcrum Ventures",Private Equity,Series A,3
2975,23-02-15,HomeLane,Not specified,Not specified,Not specified,"Sequoia Capital, Ranjan Pai, Mohandas Pai & others",Private Equity,Series A,4.5
2977,23-02-15,Smartairtrip.com,Not specified,Not specified,Not specified,Undisclosed,Private Equity,Series A,10
2979,24-02-15,Caravan Craft ,Not specified,Not specified,Not specified,"Unitus Seed Fund\\nNot specifiedrayan Ramachandran, Bijou Kurien",Seed and Funding,Not specified,0.5
2980,25-02-15,SquadRun,Not specified,Not specified,Not specified,"Amit Ranjan, Deepinder Goyal, Zishaan Hayath, Powai Lake Ventures",Seed and Funding,Not specified,0
2983,25-02-15,PepperTap,Not specified,Not specified,Not specified,Sequoia Capital,Seed and Funding,Not specified,0
2982,25-02-15,TaxSutra,Not specified,Not specified,Not specified,"V BalakrishNot specified, T V Mohandas Pai",Seed and Funding,Not specified,0.16
2981,25-02-15,Clonect Solutions,Not specified,Not specified,Not specified,"V BalakrishNot specified, T V Mohandas Pai, BC Prabhakar",Seed and Funding,Not specified,0.25
2984,25-02-15,Sattviko,Not specified,Not specified,Not specified,"Sumit Jain, Rajat Jain, Sanjay Bhasin",Seed and Funding,Not specified,0.32
2985,25-02-15,IndustryBuying,Not specified,Not specified,Not specified,SAIF Partners,Private Equity,Series A,2
2986,26-02-15,FreshWorld,Not specified,Not specified,Not specified,"Kris GopalakrishNot specified, Not specifiedgaraja Prakasam",Seed and Funding,Not specified,0
2987,26-02-15,TinyOwl,Not specified,Not specified,Not specified,"Matrix Partners, Sequoia Capital, Nexus Venture Partners",Private Equity,Series B,16
2988,27-02-15,Momoe,Not specified,Not specified,Not specified,"IDG Ventures India, Jungle Ventures, India Quotient.",Seed and Funding,Not specified,1.2
2989,27-02-15,Grofers,Not specified,Not specified,Not specified,"Tiger Global MaNot specifiedgement, Sequoia Capital India",Private Equity,Series A,10
2875,02-03-15,InstaLively.com,Not specified,Not specified,New Delhi,Group of Angel Investors,Seed Funding,Not specified,0.12
2874,02-03-15,TrulyMadly,Not specified,Not specified,Not specified,"Helion Venture Partners, Kae Capital",Private Equity,Series A,5.5
2877,03-03-15,Intruo.com,Not specified,Not specified,Not specified,"Ashutosh Lawania, Alok Goel & others",Seed Funding,Not specified,0
2876,03-03-15,Vserv,Not specified,Not specified,Not specified,"Maverick Capital, IDG Ventures India",Private Equity,Not specified,15
2878,05-03-15,Niffler,Not specified,Not specified,Not specified,SAIF Partners,Seed Funding,Not specified,1
2879,05-03-15,CustomFurnish,Not specified,Not specified,Not specified,"Madhukar Gangadi, Satish Reddy, Srini Raju, Srini Koppolu & SIDBI",Private Equity,Not specified,2.5
2880,06-03-15,MapMyGenome,Not specified,Not specified,Not specified,Rajan ANot specifieddan & other angel investors,Private Equity,Not specified,1.2
2882,09-03-15,Bite Club,Not specified,Not specified,Not specified,"Powai Lake Ventures, Aneesh Reddy, Ashish Kashyap, Alok Mittal",Seed Funding,Not specified,0.5
2881,09-03-15,Crowdfire (formerly Justunfollow),Not specified,Not specified,Not specified,Kalaari Capital,Private Equity,Not specified,2.5
2883,10-03-15,Localbanya,Not specified,Not specified,Not specified,Shrem Strategies,Private Equity,Series B,0
2885,11-03-15,Fitraq.com,Not specified,Not specified,Not specified,Tarun Arora,Seed Funding,Not specified,0.15
2884,11-03-15,Appedo,Not specified,Not specified,Not specified,Undisclosed Investors,Seed Funding,Not specified,1
2886,11-03-15,ChargeBee,Not specified,Not specified,Not specified,"Tiger Global, Accel Partners",Private Equity,Series B,5
2887,11-03-15,Groupon India,Not specified,Not specified,Not specified,Sequoia Capital,Private Equity,Not specified,20
2888,12-03-15,Process 9,Not specified,Not specified,Not specified,"IAN Ventures, Alok Sharma, Kris GopalakrishNot specified, Saurabh Srivastava, Ajai Chowdhry",Seed Funding,Not specified,0
2889,12-03-15,MoonFrog Labs,Not specified,Not specified,Not specified,"Tiger Global, Sequoia Capital.",Private Equity,Series A,15
2891,13-03-15,Paytm,Not specified,Not specified,Not specified,Ratan Tata,Private Equity,More details,0
2893,13-03-15,Qyk App,Not specified,Not specified,Not specified,"Powai Lake Ventures, Zishan Hayath, Abhishek Goyal, Sahil Barua",Seed Funding,Not specified,0
2892,13-03-15,DiabetOmics,Not specified,Not specified,Not specified,"VentureEast,\\xc2\\xa0 Varaprasad Reddy",Private Equity,Series C,5
2890,13-03-15,Foodpanda,Not specified,Not specified,Not specified,Rocket Internet AG & others,Private Equity,Series C,110
2896,14-03-15,Routofy,Not specified,Not specified,Not specified,"KuNot specifiedl Bahl, Rohit Bansal",Seed Funding,Not specified,0
2895,14-03-15,Orobind,Not specified,Not specified,Not specified,"Zishaan Hayath, Lalit Mangal, Harpreet Singh Grover",Seed Funding,Not specified,0.2
2894,14-03-15,Daily Rounds,Not specified,Not specified,Not specified,"Kae Capital, GSF, Teruhide Sato",Seed Funding,Not specified,0.5
2897,16-03-15,Digital Gorkha,Not specified,Not specified,Not specified,Ramesh kavediya,Seed Funding,Not specified,0.166
2899,16-03-15,The Better India,Not specified,Not specified,Not specified,I-cube-N,Seed Funding,Not specified,0.166
2898,16-03-15,NestAway,Not specified,Not specified,Not specified,"IDG Ventures, Not specifiedveen Tewari",Seed Funding,Not specified,1.3
2900,16-03-15,Meru Cabs,Not specified,Not specified,Not specified,Value Fund Advisors,Private Equity,Not specified,50
2901,17-03-15,GolfLAN,Not specified,Not specified,Not specified,YourNest Angel Fund,Seed Funding,Not specified,0
2904,18-03-15,GoJavas,Not specified,Not specified,Not specified,SNot specifiedpdeal,Private Equity,"Minority stake, Strategic",0
2903,18-03-15,wWhere,Not specified,Not specified,Not specified,Group of Angel Investors,Seed Funding,Not specified,0.2
2902,18-03-15,Drivestream,Not specified,Not specified,Not specified,Wipro,Private Equity,Not specified,5
2905,19-03-15,Tripoto,Not specified,Not specified,Not specified,"IDG Ventures, Outbox Ventures",Private Equity,Pre-Series A,2
2906,19-03-15,Graphic India,Not specified,Not specified,Not specified,"CA Media LP,\\xc2\\xa0 Start Media.",Seed Funding,Not specified,2.8
2907,20-03-15,Harness Handitouch,Not specified,Not specified,Not specified,Armat Group,Private Equity,Series A,0
2909,20-03-15,CollateBox,Not specified,Not specified,Not specified,LetsVenture,Seed Funding,Not specified,0.18
2908,20-03-15,Lets Corp,Not specified,Not specified,Not specified,Wu Chay Chin,Seed Funding,Not specified,3
2910,20-03-15,Mahindra First Choice,Not specified,Not specified,Not specified,Valiant Capital,Private Equity,Series B,15
2911,21-03-15,Round One,Not specified,Not specified,Not specified,"HT Media, Arun Duggal",Seed Funding,Not specified,0
2913,23-03-15,Mosambee,Not specified,Not specified,Not specified,RVCF and SIDBI,Private Equity,Series B,0
2912,23-03-15,RazorPay,Not specified,Not specified,Not specified,Y CombiNot specifiedtor,Seed Funding,Not specified,0.12
2915,24-03-15,Cubito,Not specified,Not specified,Not specified,Sol Primero,Seed Funding,Not specified,0.16
2914,24-03-15,Furlenco,Not specified,Not specified,Not specified,LightBox Ventures,Private Equity,Series A,6
2919,25-03-15,Rozgar Mela,Not specified,Not specified,Not specified,"Impact Investment Holding, Upaya Social Ventures",Seed Funding,Not specified,0
2917,25-03-15,Artoo,Not specified,Not specified,Not specified,"Accion Venture Labs, Rianta Capital",Private Equity,Series A,0.5
2918,25-03-15,Fxkart.com,Not specified,Not specified,Not specified,"Dr Mushtaq Shah, Dr Faraz Not specifiedqvi",Seed Funding,Not specified,2
2916,25-03-15,Teabox,Not specified,Not specified,Not specified,"JAFCO Asia, Keystone Group, Dragoneer Investment, Accel Partners",Private Equity,Series A,6
2920,25-03-15,OYO Rooms,Not specified,Not specified,Not specified,"Greenoaks capital, Sequoia Capital, LightSpeed Ventures",Private Equity,Series A,25
2923,26-03-15,ePoise,Not specified,Not specified,Not specified,Undisclosed,Seed Funding,Not specified,0
2922,26-03-15,Teewe,Not specified,Not specified,Not specified,"Sequoia Capital, India Quotient",Seed Funding,Not specified,1.75
2921,26-03-15,Roposo,Not specified,Not specified,Not specified,"Tiger Global MaNot specifiedgement, Indian Quotient, Binny Bansal",Private Equity,Series A,5
2924,27-03-15,Urjas,Not specified,Not specified,Not specified,Solidarity Venture Capital & others,Seed Funding,Not specified,0.1
2925,27-03-15,Chargein,Not specified,Not specified,Not specified,Pittie Group,Seed Funding,Not specified,0.1
2926,28-03-15,Yogurt Labs,Not specified,Not specified,Not specified,"Nick Adams, Kiran Bhat, Family Pot Investments LLP",Seed Funding,Not specified,0.115
2928,28-03-15,Team Indus,Not specified,Not specified,Not specified,"Not specifieddan Nilekani, Rajiv Mody, Ajai Chowdhary",Private Equity,Pre-Series A,1.5
2927,28-03-15,LimeRoad.com,Not specified,Not specified,Not specified,"Tiger Global, Matrix Partners, Lightspeed Venture Partners",Private Equity,Not specified,30
2929,30-03-15,Arohan FiNot specifiedcial Services,Not specified,Not specified,Not specified,Tano Capital,Private Equity,Not specified,10
2930,30-03-15,BillDesk,Not specified,Not specified,Not specified,TA Associates,Private Equity,Incremental Capital,75
2931,31-03-15,Triphobo,Not specified,Not specified,Not specified,"Mayfield Ventures, Kalaari Capital",Private Equity,Series B (More Here),3
2932,31-03-15,Aryaka,Not specified,Not specified,Not specified,"Trinity Ventures, InterWest Partners, Mohr Davidow Ventures, Presidio Ventures",Private Equity,Series D,16
2933,31-03-15,AppsDaily,Not specified,Not specified,Not specified,"Zodius Capital, Ru-Net, Kalaari Capital,\\xc2\\xa0 Qualcomm Ventures",Private Equity,Series C,16
2811,03-04-15,Swiggy,Online Food Delivery,Not specified,Bangalore,"Accel Partners, SAIF Partners",Private Equity,Series A,2
2812,04-04-15,Bluegape,Web Content Publishing,Not specified,Gurugram,"Rudy GopalakrishNot specified, ah! Ventures",Seed Funding,Not specified,0.2
2813,04-04-15,KeepTrax,Location Based App,Not specified,Dallas / Hyderabad,Not specified,Seed Funding,Not specified,1
2814,06-04-15,InstaLively.com,Video Streaming,Not specified,New Delhi,"Rajesh Sawheny , Rajan ANot specifieddan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",Seed Funding,Not specified,0.12
2818,07-04-15,LogiNext,Logistics Tech,Not specified,Mumbai,"Ajit SuraNot specified, Sanjay Mehta",Seed Funding,Not specified,0
2815,07-04-15,Pricejugaad,Price Comparison,Not specified,Hyderabad,"Amit Tyagi, Sandeep Acharya & others",Seed Funding,Not specified,0.165
2817,07-04-15,PressPlay TV,Travel Entertainment,Not specified,New Delhi,"Sequoia Capital, Jason Hirschhorn, Jarett Posner, and Amit Bhatiani",Seed Funding,Not specified,2.2
2816,07-04-15,Quikr,Online Classifieds,Not specified,Mumbai,"Tiger Global, Investment AB Kinnevik, Steadview Capital",Private Equity,Series G (Check prev funding details here),150
2819,08-04-15,FirstCry,eCommerce,Not specified,Pune,"Silicon Valley Ventures, NEA Ventures, Valiant Capital, IDG Ventures India,\\xc2\\xa0 SAIF Partners, Vertex Ventures",Private Equity,"Series D ( In Feb it was announced they raised 26M, but it is 36M, so added here)",10
2820,08-04-15,Mobikwik,Digital / Mobile Wallet,Not specified,Gurugram,"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",Private Equity,Series B,25
2821,08-04-15,Ola Cabs,Cab Aggregator,Not specified,Bangalore,"DST Global, Steadview Capital, Tiger Global, Accel Partners & Others",Private Equity,Series E (Updated from 315M to 400M after Press Release),400
2826,09-04-15,Purple Squirrel,Ed-Tech,Not specified,Mumbai,"Matrix Partners India, India Quotient",Private Equity,Series B,0
2824,09-04-15,Changer Mints,Digital / Mobile Wallet,Not specified,Kolkata,Hyderabad based investor,Seed Funding,Not specified,0.165
2822,09-04-15,Gadgetwood,Device Repair Svcs,Not specified,New Delhi,"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,\\nNitin Singhal & Others",Seed Funding,Not specified,0.2
2823,09-04-15,Bonhomia,Premium Beverages,Not specified,New Delhi,"Kanwaljit Singh, Shripad Not specifieddkarni, Sarvesh Shahra & Others",Seed Funding,Not specified,2
2825,09-04-15,Urban Ladder,Online Furnishing Commerce,Not specified,Bangalore,"Sequoia Capital, TR Capital, Steadview Capital, SAIF Partners, Kalaari Capital",Private Equity,Series C,50
2828,10-04-15,iMMi Life,Mobile Health Tech,Not specified,ChenNot specifiedi,Unitus Seed Fund,Seed Funding,Not specified,0
2827,10-04-15,Whatfix,Interactive How-To Guides,Not specified,Bangalore,"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",Seed Funding,Not specified,0.9
2829,11-04-15,Zomato,Restaurant Reviews,Not specified,Gurugram,Info Edge (India),Private Equity,Late Stage,25
2831,13-04-15,Not specifiedyi Disha,Ed-Tech,Not specified,New Delhi,"Ajay Relan,",Seed Funding,Not specified,0.3
2832,13-04-15,The Porter,Logistics Tech,Not specified,Mumbai,Kae Capital,Seed Funding,Not specified,0.5
2833,13-04-15,Commeasure,Online Hotel Booking,Not specified,Noida,Jungle Ventures,Seed Funding,Not specified,1
2834,13-04-15,Capricoast,Online Kitchen Furniture,Not specified,Bangalore,Accel Partners India,Seed Funding,Not specified,1.25
2830,13-04-15,ZopNow,Online Grocer,Not specified,Bangalore,"Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet",Private Equity,Series B,10
2835,14-04-15,LocalOye,Hyper-local Online Services,Not specified,Mumbai,"Tiger Global MaNot specifiedgement, Lightspeed Venture Partners",Private Equity,Series A,5
2837,15-04-15,PepperTap,Hyper-Local Online/Mobile Grocery,Not specified,Gurugram,"SAIF Partners, Sequoia Capital",Private Equity,Series A,10
2836,15-04-15,Grofers,Hyper-Local Online/Mobile Grocery,Not specified,Gurugram,"Tiger Global, Sequoia Capital",Private Equity,Series B,35
2838,15-04-15,Policy Bazaar,Online Policy Aggregator,Not specified,Gurugram,"PremjiInvest, Tiger Global, Ribbit Capital",Private Equity,Series D,40
2840,16-04-15,Taskbob,OnDemand Mobile Handyman Services,Not specified,Mumbai,"Orios Venture Partners, Mayfield India",Seed Funding,Not specified,1.2
2839,16-04-15,UrbanClap,Hyperlocal Mobile Services Marketplace,Not specified,New Delhi,"SAIF Partners, Accel Partners, KuNot specifiedl Bahl, Rohit Bansal",Seed Funding,Not specified,1.6
2841,17-04-15,Robosoft,Mobile App Development,Not specified,Udupi,"Ascent Capital, Kalaari Capital",Private Equity,Series B,12
2842,18-04-15,Doormint,On-Demand Handyman Services,Not specified,Mumbai,Powai Lake Ventures,Seed Funding,Not specified,0
2843,20-04-15,Vyomo,Beauty & Wellness Mobile App,Not specified,Gurugram,YouWeCan Ventures,Seed Funding,Not specified,0
2844,20-04-15,Pastiwala,Material Collection & Recycling,Not specified,Vadodara,Agnus Capital,Private Equity,Series A,4
2845,20-04-15,1mg,Online Pharmacy & Drug DB,Not specified,Gurugram,"Deep Kalra, Sequoia Capital, Omidyar Network, Intel Capital & Kae Capital",Private Equity,Series A,6
2847,20-04-15,Sulekha.com,Online Classifieds & Listings,Not specified,ChenNot specifiedi,GIC ventures,Private Equity,Series C,28
2846,20-04-15,FreshDesk,Online / Mobile Customer Support,Not specified,ChenNot specifiedi,"Tiger Global, Google Capital & Accel Partners",Private Equity,Series E,50
2848,22-04-15,FindYahan,Hyperlocal services marketplace,Not specified,New Delhi,The Phoenix Fund,Private Equity,Series A,0
2850,22-04-15,Avanti Learning,Private Coaching Centers,Not specified,New Delhi,"Michael & Susan Dell Foundation, Pearson Learning Fund",Private Equity,Series A,1.5
2849,22-04-15,Eat.Shop.Love,Fashion ECommerce,Not specified,Bangalore,Undisclosed Investor,Private Equity,Series A,3.5
2856,23-04-15,EazyDiner,Restaurant reservation app,Not specified,New Delhi,"Deepak Shahdadpuri, Gulpreet Kohli",Seed Funding,Not specified,0
