Sr_No,Date,Startup_name,Industry_Vertical,SubVertical,City_Location,Investors_name,Investment_Type,Remarks,Amount_USD
353,05-02-18,Pratilipi,Publishing,E-Publishing,Bangalore,Omidyar Network,Private Equity,Not specified,4.3
354,05-02-18,Asia Institute Of Medical Science,Healthcare,Super-specialty Hospital,Faridabad,CDC Group Plc,Private Equity,Not specified,21
356,06-02-18,Foodmemories,Consumer Internet,Online Food Marketplace,Ahemadabad,"Bhavesh Manglani, Suraj Saharan, Darshan Upadhyay, Sanjay Notani & Others",Seed funding,Not specified,0
357,06-02-18,Healthi,Healthcare,Preventive Health Checkup,Bangalore,Montane Ventures,Private Equity,Not specified,3.1
358,07-02-18,Swiggy,Food and Beverages,Online Food Delivery,Bangalore,Not specifiedspers,Private Equity,Not specified,100
360,08-02-18,Icertis,Consumer Internet,Enterprise Contract MaNot specifiedgement Platform,Pune,Meritech Capital Partners,Private Equity,Not specified,50
359,08-02-18,Shape,Healthcare,"Online Portal for Diet,fitness and Beauty",Pune,Sandeep Mathur,Seed / Angle Funding,Not specified,100
362,09-02-18,MedTel,Healthcare,Virtual health clinics,Bhubaneswar,British and Indian Governments,Private Equity,Not specified,0
364,09-02-18,WebEngage,Technology,Marketing Cloud for consumer businesses,Mumbai,Social Capital,Private Equity,Not specified,0
363,09-02-18,Rupeek,Consumer Internet,Online Gold Loan,Bangalore,"Accel Partners, Sequoia Capital",Private Equity,Not specified,6.83
361,09-02-18,HealthifyMe,Healthcare,Mobile Weight Loss Coach,Bangalore,Sistema Asia Fund,Private Equity,Not specified,12
366,12-02-18,Wydr,Consumer Internet,B2B Marketplace,Gurugram,"Bessemer Venture Partners, Stellaris Venture Partners, Axis Capital, Singapore, Jungle Venture Partners",Private Equity,Not specified,0
367,12-02-18,Cashify,E-Commerce,Online Selling,Gurugram,Trifecta Capital,Debt Funding,Not specified,0.935089
